Trough,Cage,group,weight,Date,age in days,Age_M,phase,norm_phase,
NA,NA,NA,NA,8/5/2016,293,9,normal,NA,
42,D,blue,NA,8/13/2016,301,10,normal,42,
42,E,blue,NA,8/21/2016,309,10,inverted,41,42
43,G,green,NA,8/21/2016,309,10,inverted,44,43
41,C,red,NA,8/21/2016,309,10,inverted,42,41
41,D,blue,NA,9/4/2016,323,10,inverted,42,41
42,D,blue,NA,9/6/2016,325,10,inverted,41,42
43,D,green,261.5,9/7/2016,326,10,inverted,44,43
43,J,green,274,9/7/2016,326,10,inverted,44,43
41,F,blue,160.5,9/8/2016,327,10,inverted,42,41
41,F,blue,201,9/8/2016,327,10,inverted,42,41
43,G,green,235,9/11/2016,330,11,normal,43,
42,I,red,243,9/12/2016,331,11,normal,42,
42,I,red,198,9/12/2016,331,11,normal,42,
42,L,red,208.5,9/12/2016,331,11,normal,42,
43,I,green,357.5,9/13/2016,332,11,normal,43,
44,B,green,373,9/14/2016,333,11,normal,44,
44,L,green,347.5,9/14/2016,333,11,normal,44,
42,H,red,210.5,9/15/2016,334,11,normal,42,
44,I,green,441.5,9/17/2016,336,11,normal,44,
43,I,green,292,9/18/2016,337,11,normal,43,
41,J,red,201.5,9/20/2016,339,11,normal,41,
41,C,red,106.5,9/20/2016,339,11,normal,41,
43,J,green,270,9/26/2016,345,11,normal,43,
44,H,green,409,10/4/2016,353,11,inverted,43,44
43,D,green,243.5,10/8/2016,357,11,inverted,44,43
42,B,red,329,10/14/2016,363,12,inverted,41,42
41,C,red,165,10/17/2016,366,12,inverted,42,41
42,K,red,493,10/17/2016,366,12,inverted,41,42
42,A,red,230,10/18/2016,367,12,inverted,41,42
41,B,red,664,10/24/2016,373,12,inverted,42,41
43,B,green,350,10/31/2016,380,12,inverted,44,43
44,B,green,197,11/2/2016,382,12,inverted,44,
42,B,red,320.5,11/2/2016,382,12,inverted,42,
44,A,green,477,11/3/2016,383,12,normal,44,
44,B,green,423,11/3/2016,383,12,normal,44,
42,G,red,296,11/3/2016,383,12,normal,42,
42,G,red,298,11/3/2016,383,12,normal,42,
43,D,green,422,11/7/2016,387,12,normal,43,
44,C,green,402.5,11/7/2016,387,12,normal,44,
44,B,green,390,11/7/2016,387,12,normal,44,
42,B,red,230,11/7/2016,387,12,normal,42,
42,B,red,299,11/7/2016,387,12,normal,42,
42,I,red,371,11/8/2016,388,12,normal,42,
42,I,red,450,11/8/2016,388,12,normal,42,
43,A,green,306,11/9/2016,389,12,normal,43,
42,H,red,225.5,11/21/2016,401,13,normal,42,
42,H,red,253,11/28/2016,408,13,normal,42,
42,K,red,278,11/28/2016,408,13,normal,42,
41,G,red,235.5,11/28/2016,408,13,normal,41,
43,A,green,315,12/5/2016,415,13,normal,43,
42,K,red,330,12/5/2016,415,13,normal,42,
43,C,green,323,12/12/2016,422,14,normal,43,
