Index_Plate_Well,Sample,Plate,MM,MM_volume
A01,2,TruSeq_HT_RAP,1,2
B01,3,TruSeq_HT_RAP,1,2
C01,6,TruSeq_HT_RAP,1,2
D01,9,TruSeq_HT_RAP,1,2
E01,10,TruSeq_HT_RAP,1,2
F01,12,TruSeq_HT_RAP,1,2
G01,13,TruSeq_HT_RAP,1,2
H01,14,TruSeq_HT_RAP,1,2
A02,15,TruSeq_HT_RAP,1,2
B02,16,TruSeq_HT_RAP,1,2
C02,18,TruSeq_HT_RAP,3,1
D02,19,TruSeq_HT_RAP,1,2
E02,20,TruSeq_HT_RAP,1,2
F02,21,TruSeq_HT_RAP,1,2
G02,22,TruSeq_HT_RAP,1,2
H02,23,TruSeq_HT_RAP,1,2
A03,24,TruSeq_HT_RAP,1,2
B03,25,TruSeq_HT_RAP,1,2
C03,26,TruSeq_HT_RAP,3,1
D03,27,TruSeq_HT_RAP,1,2
E03,28,TruSeq_HT_RAP,3,1
F03,29,TruSeq_HT_RAP,3,1
G03,30,TruSeq_HT_RAP,1,2
H03,32,TruSeq_HT_RAP,1,2
A04,33,TruSeq_HT_RAP,1,2
B04,34,TruSeq_HT_RAP,1,2
C04,35,TruSeq_HT_RAP,1,2
D04,36,TruSeq_HT_RAP,3,1
E04,37,TruSeq_HT_RAP,1,2
F04,38,TruSeq_HT_RAP,3,1
G04,39,TruSeq_HT_RAP,3,1
H04,40,TruSeq_HT_RAP,1,2
A05,41,TruSeq_HT_RAP,1,2
B05,42,TruSeq_HT_RAP,1,2
C05,44,TruSeq_HT_RAP,1,2
D05,45,TruSeq_HT_RAP,1,2
E05,48,TruSeq_HT_RAP,3,1
F05,51,TruSeq_HT_RAP,1,2
G05,52,TruSeq_HT_RAP,1,2
H05,53,TruSeq_HT_RAP,1,2
A06,54,TruSeq_HT_RAP,1,2
B06,55,TruSeq_HT_RAP,1,2
C06,56,TruSeq_HT_RAP,1,2
D06,57,TruSeq_HT_RAP,3,1
E06,58,TruSeq_HT_RAP,1,2
F06,59,TruSeq_HT_RAP,3,1
G06,60,TruSeq_HT_RAP,3,1
H06,61,TruSeq_HT_RAP,1,2
A07,62,TruSeq_HT_RAP,1,1
B07,63,TruSeq_HT_RAP,3,1
C07,64,TruSeq_HT_RAP,1,1
D07,65,TruSeq_HT_RAP,3,1
E07,66,TruSeq_HT_RAP,1,1
F07,67,TruSeq_HT_RAP,3,1
G07,68,TruSeq_HT_RAP,1,1
H07,69,TruSeq_HT_RAP,3,1
A08,71,TruSeq_HT_RAP,1,1
B08,72,TruSeq_HT_RAP,1,1
C08,74,TruSeq_HT_RAP,1,1
D08,75,TruSeq_HT_RAP,3,1
E08,76,TruSeq_HT_RAP,3,1
F08,77,TruSeq_HT_RAP,1,1
G08,80,TruSeq_HT_RAP,3,1
H08,82,TruSeq_HT_RAP,2,1
A09,83,TruSeq_HT_RAP,2,1
B09,84,TruSeq_HT_RAP,2,1
C09,85,TruSeq_HT_RAP,2,1
D09,86,TruSeq_HT_RAP,3,1
E09,87,TruSeq_HT_RAP,3,1
F09,88,TruSeq_HT_RAP,2,1
G09,91,TruSeq_HT_RAP,2,1
H09,94,TruSeq_HT_RAP,2,1
A10,93,TruSeq_HT_RAP,2,1
B10,95,TruSeq_HT_RAP,2,1
C10,96,TruSeq_HT_RAP,2,1
D10,98,TruSeq_HT_RAP,2,1
A11,99,TruSeq_HT_RAP,2,1
B11,100,TruSeq_HT_RAP,2,1
C11,101,TruSeq_HT_RAP,2,1
D11,103,TruSeq_HT_RAP,2,1
A12,104,TruSeq_HT_RAP,2,1
B12,106,TruSeq_HT_RAP,2,1
C12,107,TruSeq_HT_RAP,2,1
D12,108,TruSeq_HT_RAP,2,1
A01,109,IDT_UDI24_a,4,1
B01,110,IDT_UDI24_a,4,1
C01,112,IDT_UDI24_a,4,1
D01,113,IDT_UDI24_a,4,1
E01,114,IDT_UDI24_a,4,1
F01,115,IDT_UDI24_a,4,1
G01,116,IDT_UDI24_a,4,1
H01,117,IDT_UDI24_a,4,1
A02,119,IDT_UDI24_a,4,1
B02,120,IDT_UDI24_a,4,1
C02,121,IDT_UDI24_a,4,1
D02,122,IDT_UDI24_a,4,1
E02,123,IDT_UDI24_a,4,1
F02,124,IDT_UDI24_a,4,1
G02,125,IDT_UDI24_a,4,1
H02,128,IDT_UDI24_a,4,1
A03,129,IDT_UDI24_a,4,1
B03,130,IDT_UDI24_a,4,1
C03,131,IDT_UDI24_a,4,1
D03,132,IDT_UDI24_a,4,1
E03,133,IDT_UDI24_a,4,1
F03,134,IDT_UDI24_a,4,1
G03,138,IDT_UDI24_a,4,1
H03,139,IDT_UDI24_a,4,1
E11,140,TruSeq_HT_RAP,4,1
F11,141,TruSeq_HT_RAP,4,1
G11,144,TruSeq_HT_RAP,4,1
H11,146,TruSeq_HT_RAP,4,1
E12,149,TruSeq_HT_RAP,4,1
F12,150,TruSeq_HT_RAP,4,1
G12,49,TruSeq_HT_RAP,4,1
H12,50,TruSeq_HT_RAP,4,1
